,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,Load_Type
0,3.17,2.95,0.0,0.0,73.21,100.0,0
1,4.0,4.46,0.0,0.0,66.77,100.0,0
2,3.24,3.28,0.0,0.0,70.28,100.0,0
3,3.31,3.56,0.0,0.0,68.09,100.0,0
4,3.82,4.5,0.0,0.0,64.72,100.0,0
5,3.28,3.56,0.0,0.0,67.76,100.0,0
6,3.6,4.14,0.0,0.0,65.62,100.0,0
7,3.6,4.28,0.0,0.0,64.37,100.0,0
8,3.28,3.64,0.0,0.0,66.94,100.0,0
9,3.78,4.72,0.0,0.0,62.51,100.0,0
10,3.46,4.03,0.0,0.0,65.14,100.0,0
11,3.24,3.64,0.0,0.0,66.49,100.0,0
12,3.96,4.97,0.0,0.0,62.32,100.0,0
13,3.31,3.74,0.0,0.0,66.27,100.0,0
14,3.31,3.85,0.0,0.0,65.19,100.0,0
15,3.89,5.0,0.0,0.0,61.4,100.0,0
16,3.28,3.82,0.0,0.0,65.14,100.0,0
17,3.56,4.28,0.0,0.0,63.95,100.0,0
18,3.74,4.54,0.0,0.0,63.58,100.0,0
19,3.31,3.6,0.0,0.0,67.68,100.0,0
20,3.56,4.07,0.0,0.0,65.84,100.0,0
21,3.56,4.1,0.0,0.0,65.56,100.0,0
22,3.28,3.49,0.0,0.0,68.48,100.0,0
23,3.78,4.32,0.0,0.0,65.85,100.0,0
24,3.35,3.64,0.0,0.0,67.72,100.0,0
25,3.24,3.35,0.0,0.0,69.52,100.0,0
26,3.89,4.46,0.0,0.0,65.73,100.0,0
27,3.31,3.53,0.0,0.0,68.4,100.0,0
28,3.28,3.49,0.0,0.0,68.48,100.0,0
29,3.85,4.75,0.0,0.0,62.97,100.0,0
30,3.2,3.6,0.0,0.0,66.44,100.0,0
31,3.31,3.78,0.0,0.0,65.88,100.0,0
32,3.78,4.75,0.0,0.0,62.27,100.0,0
33,3.28,3.74,0.0,0.0,65.94,100.0,0
34,3.49,4.46,0.18,0.0,61.63,99.87,0
35,3.89,0.0,15.66,0.0,100.0,24.11,0
36,3.6,0.0,16.96,0.0,100.0,20.76,0
37,4.03,0.0,21.28,0.0,100.0,18.61,0
38,3.92,0.0,19.22,0.0,100.0,19.98,0
39,3.64,0.0,16.88,0.0,100.0,21.08,0
40,4.07,0.0,22.32,0.0,100.0,17.94,0
41,3.71,0.0,18.0,0.0,100.0,20.19,0
42,3.6,0.0,16.92,0.0,100.0,20.81,0
43,4.21,0.0,23.4,0.0,100.0,17.71,0
44,3.49,0.0,5.65,0.0,100.0,52.55,0
45,3.46,0.0,4.82,0.0,100.0,58.31,0
46,4.0,0.0,6.7,0.0,100.0,51.26,0
47,3.49,0.0,4.57,0.0,100.0,60.69,0
48,3.6,0.0,12.89,0.0,100.0,26.9,0
49,4.25,0.0,23.15,0.0,100.0,18.06,0
50,3.67,0.0,16.67,0.0,100.0,21.5,0
51,3.67,0.0,16.63,0.0,100.0,21.55,0
52,4.25,0.0,23.33,0.0,100.0,17.92,0
53,3.64,0.0,16.74,0.0,100.0,21.25,0
54,3.67,0.0,16.99,0.0,100.0,21.11,0
55,4.28,0.0,23.4,0.0,100.0,17.99,0
56,3.64,0.0,16.67,0.0,100.0,21.33,0
57,3.78,0.0,18.25,0.0,100.0,20.28,0
58,4.1,0.0,22.1,0.0,100.0,18.24,0
59,3.64,0.0,16.7,0.0,100.0,21.3,0
60,3.92,0.0,19.33,0.0,100.0,19.87,0
61,4.1,0.0,21.35,0.0,100.0,18.86,0
62,3.6,0.0,16.81,0.0,100.0,20.94,0
63,3.96,0.0,20.45,0.0,100.0,19.01,0
64,4.0,0.0,20.77,0.0,100.0,18.91,0
65,3.6,0.0,16.81,0.0,100.0,20.94,0
66,4.07,0.0,21.64,0.0,100.0,18.48,0
67,3.82,0.0,19.19,0.0,100.0,19.52,0
68,3.56,0.0,16.96,0.0,100.0,20.54,0
69,4.1,0.0,23.51,0.0,100.0,17.18,0
70,3.6,0.0,17.39,0.0,100.0,20.27,0
71,3.6,0.0,17.35,0.0,100.0,20.32,0
72,4.0,0.0,8.96,0.0,100.0,40.77,0
73,3.42,0.0,5.47,0.0,100.0,53.01,0
74,3.67,0.0,16.24,0.0,100.0,22.04,0
75,4.07,0.0,22.57,0.0,100.0,17.75,0
76,3.53,0.0,17.39,0.0,100.0,19.89,0
77,3.85,0.0,20.74,0.0,100.0,18.25,0
